"facts"
"Cats were first domesticated around 7500 BC."
"Cats have protractable and retractable claws."
"The cat is digitigrade."
"Cats can see at only one-sixth the light level required for human vision."
"The Egyptian goddess Bastet was often depicted in cat form."
